INFO 2025-09-24 18:00:39,663 autoreload 19484 1340 Watching for file changes with StatReloader
WARNING 2025-09-24 18:00:52,282 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:00:52,283 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:00:52,570 log 19484 17492 Not Found: /favicon.ico
WARNING 2025-09-24 18:00:52,571 basehttp 19484 17492 "GET /favicon.ico HTTP/1.1" 404 2751
WARNING 2025-09-24 18:01:00,667 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:00,669 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:01,151 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:01,152 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:01,357 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:01,358 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:01,522 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:01,526 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:01,749 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:01,771 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:01,939 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:01,940 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:02,212 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:02,216 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:02,505 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:02,510 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:07,734 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:07,735 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:07,896 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:07,897 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:08,037 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:08,038 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:08,204 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:08,206 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
WARNING 2025-09-24 18:01:08,345 log 19484 17492 Not Found: /
WARNING 2025-09-24 18:01:08,347 basehttp 19484 17492 "GET / HTTP/1.1" 404 2700
